Date,Price,Open,High,Low,Change
07/07/2008,20785,20785,20785,20785,0.02
08/07/2008,20460,20460,20460,20460,-0.02
09/07/2008,21309,21309,21309,21309,0.04
10/07/2008,21760,21760,21760,21760,0.02
11/07/2008,21455,21455,21455,21455,-0.01
14/07/2008,20593,20593,20593,20593,-0.04
17/07/2008,20683,20683,20683,20683,0
18/07/2008,20308,20308,20308,20308,-0.02
21/07/2008,20453,20453,20453,20453,0.01
22/07/2008,20403,20403,20403,20403,0
23/07/2008,19858,19858,19858,19858,-0.03
24/07/2008,18682,18682,18682,18682,-0.06
25/07/2008,18358,18358,18358,18358,-0.02
28/07/2008,18675,18675,18675,18675,0.02
29/07/2008,17965,17965,17965,17965,-0.04
30/07/2008,18675,18675,18675,18675,0.04
31/07/2008,18270,18270,18270,18270,-0.02
01/08/2008,18212,18212,18212,18212,0
04/08/2008,17927,17927,17927,17927,-0.02
05/08/2008,17512,17512,17512,17512,-0.02
06/08/2008,17711,17711,17711,17711,0.01
07/08/2008,18774,18774,18774,18774,0.06
08/08/2008,18090,18090,18090,18090,-0.04
11/08/2008,17930,17930,17930,17930,-0.01
12/08/2008,18060,18060,18060,18060,0.01
13/08/2008,19505,19505,19505,19505,0.08
14/08/2008,19090,19090,19090,19090,-0.02
15/08/2008,18670,18670,18670,18670,-0.02
18/08/2008,18007,18007,18007,18007,-0.04
21/08/2008,21495,21495,21495,21495,0.19
22/08/2008,20845,20845,20845,20845,-0.03
26/08/2008,20005,20005,20005,20005,-0.04
27/08/2008,20960,20960,20960,20960,0.05
28/08/2008,20460,20460,20460,20460,-0.02
29/08/2008,20195,20195,20195,20195,-0.01
01/09/2008,19255,19255,19255,19255,-0.05
02/09/2008,19387,19387,19387,19387,0.01
03/09/2008,19525,19525,19525,19525,0.01
04/09/2008,19154,19154,19154,19154,-0.02
05/09/2008,18545,18545,18545,18545,-0.03
08/09/2008,18792,18792,18792,18792,0.01
09/09/2008,18441,18441,18441,18441,-0.02
10/09/2008,18436,18436,18436,18436,0
11/09/2008,18425,18425,18425,18425,0
12/09/2008,19170,19170,19170,19170,0.04
15/09/2008,18000,18000,18000,18000,-0.06
18/09/2008,16635,16635,16635,16635,-0.08
19/09/2008,16843,16843,16843,16843,0.01
22/09/2008,17370,17370,17370,17370,0.03
23/09/2008,17067,17067,17067,17067,-0.02
24/09/2008,17060,17060,17060,17060,0
25/09/2008,16930,16930,16930,16930,-0.01
26/09/2008,16835,16835,16835,16835,-0.01
29/09/2008,16225,16225,16225,16225,-0.04
30/09/2008,15660,15660,15660,15660,-0.03
01/10/2008,15765,15765,15765,15765,0.01
02/10/2008,15115,15115,15115,15115,-0.04
03/10/2008,14965,14965,14965,14965,-0.01
06/10/2008,14115,14115,14115,14115,-0.06
07/10/2008,14034,14034,14034,14034,-0.01
08/10/2008,13005,13005,13005,13005,-0.07
09/10/2008,13205,13205,13205,13205,0.02
10/10/2008,11960,11960,11960,11960,-0.09
13/10/2008,12560,12560,12560,12560,0.05
16/10/2008,10620,10620,10620,10620,-0.15
17/10/2008,10645,10645,10645,10645,0
20/10/2008,10387,10387,10387,10387,-0.02
21/10/2008,10557,10557,10557,10557,0.02
22/10/2008,9863,9863,9863,9863,-0.07
23/10/2008,9213,9213,9213,9213,-0.07
24/10/2008,9866,9866,9866,9866,0.07
27/10/2008,10960,10960,10960,10960,0.11
28/10/2008,11820,11820,11820,11820,0.08
29/10/2008,13495,13495,13495,13495,0.14
30/10/2008,11762,11762,11762,11762,-0.13
31/10/2008,11962,11962,11962,11962,0.02
03/11/2008,11800,11800,11800,11800,-0.01
04/11/2008,12752,12752,12752,12752,0.08
05/11/2008,12151,12151,12151,12151,-0.05
06/11/2008,11255,11255,11255,11255,-0.07
07/11/2008,10826,10826,10826,10826,-0.04
10/11/2008,11167,11167,11167,11167,0.03
11/11/2008,10563,10563,10563,10563,-0.05
12/11/2008,10369,10369,10369,10369,-0.02
13/11/2008,11319,11319,11319,11319,0.09
14/11/2008,10869,10869,10869,10869,-0.04
17/11/2008,10515,10515,10515,10515,-0.03
20/11/2008,9853,9853,9853,9853,-0.06
21/11/2008,9907,9907,9907,9907,0.01
24/11/2008,10580,10580,10580,10580,0.07
25/11/2008,10405,10405,10405,10405,-0.02
26/11/2008,10507,10507,10507,10507,0.01
27/11/2008,10161,10161,10161,10161,-0.03
28/11/2008,10111,10111,10111,10111,0
01/12/2008,9707,9707,9707,9707,-0.04
02/12/2008,9402,9402,9402,9402,-0.03
03/12/2008,9095,9095,9095,9095,-0.03
04/12/2008,9139,9139,9139,9139,0
05/12/2008,8942,8942,8942,8942,-0.02
08/12/2008,9210,9210,9210,9210,0.03
09/12/2008,9286,9286,9286,9286,0.01
10/12/2008,10188,10188,10188,10188,0.1
11/12/2008,11003,11003,11003,11003,0.08
12/12/2008,10532,10532,10532,10532,-0.04
15/12/2008,10102,10102,10102,10102,-0.04
18/12/2008,9708,9708,9708,9708,-0.04
19/12/2008,10236,10236,10236,10236,0.05
22/12/2008,10231,10231,10231,10231,0
23/12/2008,9681,9681,9681,9681,-0.05
24/12/2008,9556,9556,9556,9556,-0.01
29/12/2008,9627,9627,9627,9627,0.01
30/12/2008,10639,10639,10639,10639,0.11
31/12/2008,11629,11629,11629,11629,0.09
02/01/2009,13130,13130,13130,13130,0.13
05/01/2009,12772,12772,12772,12772,-0.03
06/01/2009,13175,13175,13175,13175,0.03
07/01/2009,12227,12227,12227,12227,-0.07
08/01/2009,11472,11472,11472,11472,-0.06
09/01/2009,12102,12102,12102,12102,0.05
12/01/2009,10642,10642,10642,10642,-0.12
13/01/2009,11192,11192,11192,11192,0.05
14/01/2009,10769,10769,10769,10769,-0.04
15/01/2009,10627,10627,10627,10627,-0.01
16/01/2009,10788,10788,10788,10788,0.02
19/01/2009,11242,11242,11242,11242,0.04
22/01/2009,10965,10965,10965,10965,-0.02
23/01/2009,12064,12064,12064,12064,0.1
26/01/2009,11863,11863,11863,11863,-0.02
27/01/2009,11360,11360,11360,11360,-0.04
28/01/2009,11710,11710,11710,11710,0.03
29/01/2009,11358,11358,11358,11358,-0.03
30/01/2009,11156,11156,11156,11156,-0.02
02/02/2009,11253,11253,11253,11253,0.01
03/02/2009,11552,11552,11552,11552,0.03
04/02/2009,11697,11697,11697,11697,0.01
05/02/2009,11395,11395,11395,11395,-0.03
06/02/2009,11450,11450,11450,11450,0
09/02/2009,11440,11440,11440,11440,0
10/02/2009,10735,10735,10735,10735,-0.06
11/02/2009,10333,10333,10333,10333,-0.04
12/02/2009,10217,10217,10217,10217,-0.01
13/02/2009,10256,10256,10256,10256,0
16/02/2009,10220,10220,10220,10220,0
19/02/2009,9843,9843,9843,9843,-0.04
20/02/2009,9442,9442,9442,9442,-0.04
23/02/2009,9446,9446,9446,9446,0
24/02/2009,9739,9739,9739,9739,0.03
25/02/2009,10016,10016,10016,10016,0.03
26/02/2009,9996,9996,9996,9996,0
27/02/2009,9941,9941,9941,9941,-0.01
02/03/2009,9482,9482,9482,9482,-0.05
03/03/2009,9583,9583,9583,9583,0.01
04/03/2009,9966,9966,9966,9966,0.04
05/03/2009,9761,9761,9761,9761,-0.02
06/03/2009,9784,9784,9784,9784,0
09/03/2009,9607,9607,9607,9607,-0.02
10/03/2009,9863,9863,9863,9863,0.03
11/03/2009,9724,9724,9724,9724,-0.01
